SchoolYear,DistrictID,LEA,LEA Number,School,School Number,CompositeSchoolID,Avg. Composite Score,Avg. English Score,Avg. Reading Score,Avg. Math Score,Avg. Science Score,Percent With 18 or Higher Composite Score Masked
2021,122,Alpine District,1,American Fork High,704,122180704,20.3,19.5,21.1,19.5,20.5,66.3%
2021,122,Alpine District,1,Lehi High,708,122181708,19.2,17.4,19.9,19.6,19.6,58.4%
2021,122,Alpine District,1,Lone Peak High,709,122182709,21.6,21.4,22.2,20.8,21.6,79.0%
2021,122,Alpine District,1,Mountain View High,711,122183711,18.4,17,19.2,18.1,18.8,50.3%
2021,122,Alpine District,1,Orem High,712,122184712,19.4,18.2,20.1,19.1,19.7,56.0%
2021,122,Alpine District,1,Pleasant Grove High,716,122185716,19.3,17.6,19.8,19.4,19.8,58.3%
2021,122,Alpine District,1,Timpanogos High,718,122186718,19.5,17.9,20,19.5,20,61.2%
2021,122,Alpine District,1,Summit High,730,122188730,14.2,12.3,14.2,15.5,14.4,< 20%
2021,122,Alpine District,1,Polaris High School,782,122186292782,14.6,12.9,14.6,15.4,15.2,10 to 19%
2021,122,Alpine District,1,Skyridge High School,785,122186426785,20.6,19.5,21,20.3,20.9,71.1%
2021,122,Alpine District,1,Westlake High,789,122186032789,19.8,18.3,20.2,20,20.3,63.6%
2021,197,Beaver District,2,Beaver High,704,197202704,18.1,16.6,17.9,18.5,18.7,50.7%
2021,197,Beaver District,2,Milford High,708,197203708,16.8,15.9,16.5,16.9,17.3,30 to 39%
2021,205,Box Elder District,3,Bear River High,704,205235704,19.2,18.2,19.6,19.1,19.2,59.0%
2021,205,Box Elder District,3,Box Elder High,708,205236708,19.8,18.9,20.5,19.1,20.4,66.8%
2021,205,Box Elder District,3,Sunrise High School,778,205240778,15.7,14.1,15.7,15.4,16.9,30 to 39%
2021,243,Cache District,4,Mountain Crest High,702,243270702,20.6,20,20.8,20.9,20.3,72.6%
2021,243,Cache District,4,Green Canyon High School,703,243186473703,20.4,18.5,21.5,20.3,21.1,67.3%
2021,243,Cache District,4,Ridgeline High School,705,243186436705,20.7,19.4,21.1,21.1,20.9,73.8%
2021,243,Cache District,4,Sky View High,706,243271706,19.1,16.8,20,19.5,19.6,58.0%
2021,243,Cache District,4,Cache High,710,243272710,14.9,13.3,15.4,15.5,14.9,11.9%
2021,279,Carbon District,5,Carbon High,704,279293704,18.9,18.2,19.5,18.1,19.4,55.9%
2021,300,Daggett District,6,Manila High,704,300306704,16.9,16.4,17.8,15.6,17.2,40 to 49%
2021,308,Davis District,7,Bountiful High,704,308390704,21.3,20.9,21.9,21,20.9,72.0%
2021,308,Davis District,7,Clearfield High,706,308391706,19,17.9,19.2,18.9,19.4,56.7%
2021,308,Davis District,7,Davis High,708,308392708,21.4,20.3,21.6,21.7,21.4,76.1%
