,School Name,Overall Attendance 2021,Grade 9 Attendance 2021,Grade 10 Attendance 2021,Grade 11 Attendance 2021,Grade 12 Attendance 2021,AfAm/Black Attendance 2021,American Indian Attendance 2021,Asian Attendance 2021,Hispanic/Latino Attendance 2021,Multiple Race Attendance 2021,Pacific Islander Attendance 2021,White Attendance 2021,Female Attendance 2021,Male Attendance 2021,Student with a Disability Attendance 2021,Economically Disadvantaged Attendance 2021,English Learner Attendance 2021,Homeless Attendance 2021,Avg Minority Attendance 2021,School ID_y,Overall Attendance 2022,Grade 9 Attendance 2022,Grade 10 Attendance 2022,Grade 11 Attendance 2022,Grade 12 Attendance 2022,AfAm/Black Attendance 2022,American Indian Attendance 2022,Asian Attendance 2022,Hispanic/Latino Attendance 2022,Multiple Race Attendance 2022,Pacific Islander Attendance 2022,White Attendance 2022,Female Attendance 2022,Male Attendance 2022,Student with a Disability Attendance 2022,Economically Disadvantaged Attendance 2022,English Learner Attendance 2022,Homeless Attendance 2022,Avg Minority Attendance 2022
0,Academy for Math Engineering & Science,0.9652,0.9725,0.9769,0.9787,0.9311,0.9833,0.964,0.9801,0.9646,0.9671,0.9269,0.9634,0.9549,0.9756,0.9667,0.9532,0.9278,0.9652,0.9598899999999999,110575.0,0.9422,0.9505,0.9484,0.9486,0.9111,0.9722,0.9422,0.962,0.9387,0.9359,0.908,0.9356,0.9359,0.9435,0.9414,0.917,0.9422,0.9422,0.94018
1,American Academy of Innovation,0.8981,0.9226,0.9049,0.8807,0.8283,0.8981,0.8981,0.8981,0.8855,0.9183,0.8981,0.9009,0.8934,0.8994,0.8941,0.8911,0.8981,0.8981,0.8977599999999999,186430.0,0.8273,0.8683,0.8722,0.7942,0.621,0.8273,0.8273,0.8273,0.8472,0.7792,0.8273,0.8192,0.8455,0.814,0.8275,0.8346,0.8273,0.8273,0.82523
2,American Leadership Academy,0.9397,0.9521,0.94,0.9541,0.9711,0.9403,0.9397,0.9675,0.9307,0.9196,0.9397,0.9425,0.9374,0.9419,0.9347,0.9375,0.9211,0.9107,0.9341500000000001,165615.0,0.9171,0.9223,0.9282,0.9214,0.9556,0.9143,0.9171,0.9488,0.9171,0.9306,0.9171,0.9214,0.9183,0.9218,0.9139,0.9186,0.9125,0.8934,0.9183399999999999
3,American Preparatory Academy - Accelerated School,0.9156,0.9319,0.9439,0.9326,0.9518,0.9229,0.9156,0.9385,0.9154,0.9337,0.8631,0.9207,0.9215,0.9156,0.9077,0.9097,0.9127,0.9156,0.91349,186243.0,0.9447,0.9633,0.9517,0.9521,0.9471,0.9531,0.9447,0.962,0.9417,0.9572,0.8905,0.9303,0.9426,0.9421,0.9282,0.9408,0.9398,0.9447,0.9402700000000002
4,American Preparatory Academy - Draper #3,0.9669,0.9672,0.9601,0.9642,0.969,0.9444,0.9669,0.9865,0.963,0.9685,0.9669,0.9661,0.9695,0.9692,0.9563,0.9575,0.9645,0.9669,0.9641399999999999,186376.0,0.9584,0.9608,0.9523,0.9519,0.9548,0.9608,0.9584,0.9701,0.956,0.9613,0.8934,0.9554,0.953,0.958,0.9572,0.9498,0.9557,0.9584,0.9521099999999999
5,Athenian eAcademy,0.9474,0.9961,0.9941,0.995,1.0,0.9474,0.9474,0.9474,0.9266,0.9913,0.9474,0.9473,0.9461,0.9528,0.9381,0.9234,0.9474,0.9474,0.9463800000000001,186388.0,0.9359,0.9933,0.9962,0.996,0.9923,0.9359,0.8623,0.9359,0.906,0.9684,0.9359,0.9404,0.9369,0.93,0.9194,0.8537,0.9359,0.9359,0.9189300000000001
6,Beehive Science & Technology Academy,0.9866,0.9845,0.9777,0.9813,0.9669,0.9866,0.9866,0.9929,0.9844,0.9866,0.9866,0.9863,0.9872,0.9863,0.9686,0.987,0.9866,0.9866,0.98525,165610.0,0.9519,0.9661,0.9518,0.9473,0.9402,0.9519,0.9519,0.9472,0.9635,0.9519,0.9519,0.9569,0.9529,0.9548,0.9507,0.9247,0.9519,0.9519,0.9497500000000001
7,City Academy,0.9586,0.9604,0.9614,0.944,0.9686,0.9586,0.9586,0.9586,0.945,0.9586,0.9586,0.9613,0.956,0.9551,0.9557,0.9437,0.9626,0.9586,0.95586,10527.0,0.8884,0.8674,0.9214,0.8925,0.8781,0.8884,0.8884,0.8884,0.8683,0.8884,0.8884,0.89,0.8699,0.8956,0.8841,0.8767,0.9285,0.8884,0.8888
8,Davinci Academy,0.9642,0.9675,0.9701,0.9673,0.9777,0.9071,0.9642,0.95,0.9497,0.9565,0.9642,0.9722,0.9622,0.9662,0.9683,0.9507,0.9505,0.9642,0.9525400000000002,125578.0,0.9354,0.9458,0.9465,0.9456,0.9753,0.9318,0.9354,0.9635,0.9281,0.9391,0.9354,0.9318,0.9244,0.9402,0.9293,0.9169,0.9425,0.9354,0.93574
9,East Hollywood High,0.8026,0.8404,0.8372,0.8224,0.7362,0.8026,0.8026,0.8026,0.7757,0.7702,0.784,0.8131,0.8008,0.7963,0.7904,0.7979,0.6936,0.8026,0.78222,135601.0,0.7645,0.8182,0.8102,0.8015,0.6562,0.7645,0.7645,0.7645,0.7528,0.6763,0.7893,0.7649,0.7808,0.7249,0.7487,0.7428,0.8006,0.7645,0.75685
