,LEA Type,Local Education Agency (LEA),Mean School Administrator Salary in dollars,Administrator to Teacher Mean Salary Ratio within LEA,Mean Teacher Salary in Dollars,LEA Teacher to State Teacher Mean Salary Ratio
0,District,Alpine District,101256.75,1.8421940751710624,54965.3,0.960487173070928
1,District,Beaver District,98450.33,1.5827579476850815,62201.76,1.0869401717526572
2,District,Box Elder District,93331.65,1.553319973431092,60085.27,1.0499557197996452
3,District,Cache District,109747.37,1.8375141479422696,59726.0,1.043677682080044
4,District,Canyons District,107126.18,1.7174364411229193,62375.63,1.0899784505354864
5,District,Carbon District,82841.5,1.5379975426645491,53863.22,0.9412289555464532
6,District,Daggett District,82641.0,1.6202497397319091,51005.1,0.891284943613516
7,District,Davis District,115089.03,2.0033443896223484,57448.45,1.003878798765886
8,District,Duchesne District,84158.89,1.5926264736389024,52842.83,0.9233982240389413
9,District,Emery District,84679.64,1.552617605599715,54539.92,0.9530539009213915
10,District,Garfield District,81734.2,1.4823983984463276,55136.46,0.9634780961540881
11,District,Grand District,80556.15,1.4611120834992186,55133.45,0.9634254981260423
12,District,Granite District,125051.26,1.951300219142616,64086.12,1.1198682847520938
13,District,Iron District,92300.68,1.8013037986738754,51241.04,0.8954078601374748
14,District,Jordan District,103597.31,1.7649227153325509,58697.93,1.0257127469660898
15,District,Juab District,92833.38,1.7240617363602024,53845.74,0.9409235025463736
16,District,Kane District,94017.0,1.48544299987534,63292.23,1.1059955111689554
17,District,Logan City District,108942.75,1.815357295089261,60011.74,1.0486708251145274
18,District,Millard District,51046.33,0.8810708723608477,57936.69,1.0124105134546104
19,District,Morgan District,83709.67,1.6314033222604312,51311.45,0.8966382346074753
20,District,Murray District,112521.74,1.7352434492565572,64844.93,1.1331280554037222
21,District,Nebo District,63128.74,1.5690739370946125,40233.12,0.7030507555243657
22,District,North Sanpete District,80193.0,1.4844639691737664,54021.52,0.9439951574865341
23,District,North Summit District,105017.0,1.5959848481970191,65800.75,1.149830463100299
