SchoolYear,DistrictID,CompositeSchoolID,LocalEducationAgency,School,LEAType,ClassSize
2023,122,122168404,Alpine District,American Fork Jr High,District,35.23076923076923
2023,122,122169405,Alpine District,Canyon View Jr High,District,30.556603773584907
2023,122,122170406,Alpine District,Lakeridge Jr High,District,31.88372093023256
2023,122,122171408,Alpine District,Lehi Jr High,District,29.653061224489797
2023,122,122172410,Alpine District,Mountain Ridge Jr High,District,29.933962264150942
2023,122,122173412,Alpine District,Oak Canyon Jr High,District,30.488372093023255
2023,122,122174414,Alpine District,Orem Jr High,District,29.15463917525773
2023,122,122175416,Alpine District,Pleasant Grove Jr High,District,29.568
2023,122,122180704,Alpine District,American Fork High,District,29.61764705882353
2023,122,122181708,Alpine District,Lehi High,District,29.700854700854702
2023,122,122182709,Alpine District,Lone Peak High,District,30.451851851851853
2023,122,122183711,Alpine District,Mountain View High,District,31.53846153846154
2023,122,122184712,Alpine District,Orem High,District,29.602739726027398
2023,122,122185716,Alpine District,Pleasant Grove High,District,27.95967741935484
2023,122,122186718,Alpine District,Timpanogos High,District,28.75
2023,122,12265563420,Alpine District,Timberline Middle,District,29.976923076923075
2023,122,122130582425,Alpine District,Willowcreek Middle,District,34.22
2023,122,122186032789,Alpine District,Westlake High,District,26.96987951807229
2023,122,122186162490,Alpine District,Vista Heights Middle,District,32.143884892086334
2023,122,122186328417,Alpine District,Frontier Middle School,District,31.426666666666666
2023,122,122186426785,Alpine District,Skyridge High School,District,30.9921875
2023,122,122186536721,Alpine District,Cedar Valley High,District,33.02173913043478
2023,122,122186577450,Alpine District,Lake Mountain Middle,District,32.41269841269841
2023,122,122186634435,Alpine District,Viewpoint Middle,District,35.5578231292517
2023,197,197201712,Beaver District,Minersville School,District,15.0
2023,197,197202704,Beaver District,Beaver High,District,26.244444444444444
2023,197,197203708,Beaver District,Milford High,District,19.62962962962963
2023,205,205218710,Box Elder District,Grouse Creek Secondary,District,1.0
2023,205,205226712,Box Elder District,Park Valley Secondary,District,3.0
2023,205,205231304,Box Elder District,Harris Intermediate,District,27.348837209302324
2023,205,205232308,Box Elder District,Young Intermediate,District,26.24590163934426
2023,205,205233404,Box Elder District,Bear River Middle,District,26.788235294117648
2023,205,205234408,Box Elder District,Box Elder Middle,District,30.794117647058822
2023,205,205235704,Box Elder District,Bear River High,District,26.056603773584907
2023,205,205236708,Box Elder District,Box Elder High,District,28.37313432835821
2023,243,243262330,Cache District,Spring Creek Middle School,District,27.79591836734694
2023,243,243265406,Cache District,North Cache Middle School,District,28.625
2023,243,243267410,Cache District,South Cache Middle School,District,27.90082644628099
2023,243,243270702,Cache District,Mountain Crest High,District,28.760563380281692
2023,243,243271706,Cache District,Sky View High,District,29.27536231884058
2023,243,243186436705,Cache District,Ridgeline High School,District,27.662921348314608
2023,243,243186473703,Cache District,Green Canyon High School,District,29.742857142857144
2023,279,279289408,Carbon District,Helper Middle,District,22.72222222222222
2023,279,279290412,Carbon District,Mont Harmon Middle,District,23.5625
2023,279,279293704,Carbon District,Carbon High,District,25.294117647058822
2023,300,300306704,Daggett District,Manila High,District,15.785714285714286
2023,308,308359402,Davis District,Fairfield Jr High,District,31.738636363636363
2023,308,308360404,Davis District,Bountiful Jr High,District,28.015873015873016
2023,308,308361406,Davis District,Centerville Jr High,District,32.19277108433735
2023,308,308362408,Davis District,Central Davis Jr High,District,30.43010752688172
2023,308,308363409,Davis District,Farmington Jr High,District,33.96296296296296
2023,308,308364410,Davis District,Kaysville Jr High,District,30.316239316239315
2023,308,308365411,Davis District,Millcreek Jr High,District,26.15277777777778
2023,308,308366412,Davis District,North Davis Jr High,District,29.50326797385621
2023,308,308367413,Davis District,Mueller Park Jr High,District,30.29126213592233
2023,308,308368414,Davis District,North Layton Jr High,District,27.989795918367346
2023,308,308369416,Davis District,South Davis Jr High,District,31.614583333333332
2023,308,308370418,Davis District,Sunset Jr High,District,31.564705882352943
2023,308,308371420,Davis District,Syracuse Jr High,District,32.131147540983605
2023,308,308390704,Davis District,Bountiful High,District,29.79746835443038
2023,308,308391706,Davis District,Clearfield High,District,30.93577981651376
2023,308,308392708,Davis District,Davis High,District,27.983333333333334
2023,308,308393710,Davis District,Layton High,District,30.734513274336283
2023,308,308394711,Davis District,Northridge High,District,28.831683168316832
2023,308,308395712,Davis District,Viewmont High,District,28.35
2023,308,308396714,Davis District,Woods Cross High,District,26.278350515463917
2023,308,30865561422,Davis District,West Point Jr High,District,32.6484375
2023,308,308185844716,Davis District,Syracuse High,District,30.95275590551181
2023,308,308186116424,Davis District,Legacy Jr High,District,30.831683168316832
2023,308,308186244426,Davis District,Centennial Jr High,District,31.96842105263158
2023,308,308186535709,Davis District,Farmington High,District,29.054054054054053
2023,308,308186571428,Davis District,Shoreline Junior High,District,33.55339805825243
2023,422,422433404,Duchesne District,Roosevelt Jr High,District,28.52542372881356
2023,422,422434704,Duchesne District,Altamont High,District,21.129032258064516
2023,422,422435708,Duchesne District,Duchesne High,District,16.0
2023,422,422436712,Duchesne District,Tabiona High,District,10.3125
2023,422,422437714,Duchesne District,Union High,District,29.646341463414632
2023,442,442451404,Emery District,Canyon View Middle School,District,24.625
2023,442,442452408,Emery District,San Rafael Middle School,District,21.904761904761905
2023,442,442453704,Emery District,Green River High,District,10.866666666666667
2023,442,442454706,Emery District,Emery High,District,23.083333333333332
2023,456,456463304,Garfield District,Panguitch Middle,District,17.571428571428573
2023,456,456464704,Garfield District,Bryce Valley High,District,19.94736842105263
2023,456,456465708,Garfield District,Escalante High,District,12.3125
2023,456,456466712,Garfield District,Panguitch High,District,17.38888888888889
2023,468,468472404,Grand District,Grand County Middle,District,22.7
2023,468,468473704,Grand District,Grand County High,District,19.785714285714285
2023,480,480552400,Granite District,Bennion Jr High,District,28.87878787878788
2023,480,480553402,Granite District,Bonneville Jr High,District,26.133333333333333
2023,480,480556410,Granite District,Churchill Jr High,District,30.31578947368421
2023,480,480557411,Granite District,Eisenhower Jr High,District,25.146341463414632
2023,480,480558412,Granite District,Evergreen Jr High,District,27.25
2023,480,480559416,Granite District,Granite Park Jr High,District,15.923076923076923
2023,480,480560418,Granite District,Hunter Jr High,District,29.057142857142857
2023,480,480561419,Granite District,Thomas Jefferson Jr High,District,28.352941176470587
2023,480,480562420,Granite District,Kearns Jr High,District,28.918367346938776
2023,480,480563422,Granite District,John F. Kennedy Jr High,District,26.0
2023,480,480564424,Granite District,Olympus Jr High,District,27.473684210526315
2023,480,480565428,Granite District,Valley Jr High,District,28.476190476190474
2023,480,480566432,Granite District,Wasatch Jr High,District,27.559322033898304
2023,480,480567434,Granite District,West Lake Jr High,District,18.25
