leaname,admin_sal,admin_to_teacher,teacher_sal,school,leatype,gradrate,act21,act22,english21,english22,math21,math22,reading21,reading22,science21,science22,log_students,students_11_12,attendance21,attendance22,minority,american_indian,black,asian,hispanic,multiple_race,pacific_islander,cohortyear,schoolid_y,totalk12,grade9,grade10,grade11,grade12,female,male,white,disadvantaged,english_learner,disability,homeless,charter,district
Academy for Math Engineering & Science,109484.5,1.841987,59438.262,Academy for Math Engineering & Science,Charter,.96600002,22.9,24.1,22,23.299999,22.299999,24.5,23.299999,23.9,23.4,24.1,5.4293456,228,.96520001,.94220001,.44703391,.016949153,.031779662,.12076271,.16949153,.050847456,.05720339,2022,110575,472,129,115,114,114,.45338982,.54661018,.55296612,.22669491,.010593221,.063559324,.0021186441,1,0
Alpine District,101256.75,1.8421941,54965.301,Pleasant Grove High,District,.89399999,19.299999,19.9,17.6,18.200001,19.4,19.700001,19.799999,21.299999,19.799999,19.799999,7.2710085,1438,.92180002,.92400002,.18366426,.0027075813,.005866426,.0054151625,.125,.032942239,.011732852,2022,185,2216,63,715,743,695,.49548736,.50451261,.81633574,.14891697,.032039709,.086642601,.0018050541,0,1
American Leadership Academy,80850,1.6262475,49715.68,American Leadership Academy,Charter,.954,19.5,18.799999,17.6,17.799999,19.799999,19.200001,20.4,19,19.700001,18.9,5.484797,241,.93970001,.91710001,.37134147,.0018292683,.012804878,.0079268292,.3207317,.027439024,.0006097561,2022,165615,1640,137,143,114,127,.49878049,.50121951,.62865853,.33780488,.093902439,.13658537,.021951219,1,0
American Preparatory Academy,47881.059,1.0638344,45008,American Preparatory Academy - Draper #3,Charter,.91100001,20.5,22.1,19.299999,22,19.5,21.4,22.200001,22.1,20.6,22.299999,4.6539602,105,.96689999,.95840001,.55013549,.0040650405,.016260162,.19241193,.29539296,.029810298,.012195121,2022,186376,738,133,81,54,51,.46070459,.53929538,.44986451,.22222222,.17886178,.12737127,0,1,0
Beaver District,98450.328,1.5827579,62201.762,Milford High,District,.89999998,16.799999,16.299999,15.9,14.8,16.9,16.4,16.5,16.5,17.299999,16.799999,4.3438053,77,.96329999,.95779997,.2638889,.0092592593,.0046296297,.0046296297,.23148148,.0092592593,.0046296297,2022,203,216,36,28,42,35,.4861111,.5138889,.7361111,.38425925,.050925925,.10185185,0,0,1
Beehive Science & Technology Academy,0,0,46834.922,Beehive Science & Technology Academy,Charter,.89999998,25.200001,21,23.700001,20.4,27.4,22.200001,24.299999,21.4,25.1,19.700001,4.0604429,58,.98659998,.95190001,.41638225,0,.017064847,.27645051,.098976113,0,.023890786,2022,165610,293,46,38,22,36,.36177474,.63822526,.58361775,.24573378,.013651877,.14675768,0,1,0
Box Elder District,93331.648,1.5533199,60085.27,Sunrise High School,District,.57800001,15.7,15.6,14.1,15.3,15.4,14.6,15.7,16.9,16.9,15.2,5.0106354,150,,.7823,.28651685,0,.0056179776,0,.23033708,.033707865,.016853932,2022,240,178,6,20,49,101,.45505619,.54494381,.71348315,.39325842,.067415729,.23595506,0,0,1
Cache District,109747.37,1.8375142,59726,Ridgeline High School,District,.96600002,20.700001,21.1,19.4,19.200001,21.1,21.4,21.1,22.299999,20.9,20.799999,6.7440591,849,.95160002,.93739998,.13530415,.0039795339,.0051165433,.011370096,.089255258,.021603184,.0039795339,2022,186436,1759,443,467,451,398,.52302444,.47697556,.86469585,.25525868,.026151223,.083001703,0,0,1
Canyons District,107126.18,1.7174364,62375.629,Alta High,District,.92400002,20.200001,20.799999,18.9,19.700001,19.5,19.9,21.5,22.299999,20.299999,20.799999,6.9994226,1096,.93629998,.9199,.20911881,.0021920211,.010960105,.024550635,.11836914,.041648399,.011398509,2022,733,2281,591,594,564,532,.48180622,.51819378,.79088122,.167032,.031126698,.085488819,.032880317,0,1
Carbon District,82841.5,1.5379975,53863.219,Carbon High,District,.88099998,18.9,18.5,18.200001,17.5,18.1,17.700001,19.5,19.299999,19.4,19,6.2105999,498,.88749999,.90689999,.1792905,.0086289551,.0028763183,.0047938637,.1514861,.0076701823,.0038350911,2022,293,1043,300,245,229,269,.48897412,.51102591,.82070947,.31255993,.029721957,.12080537,0,0,1
