school,act21,act22,english21,english22,math21,math22,reading21,reading22,science21,science22,attendance21,attendance22,schoolid_y,totalk12_2022,grade_9_2022,grade_10_2022,grade_11_2022,grade_12_2022,female_2022_p,male_2022_p,americanindian_2022_p,afamblack_2022_p,asian_2022_p,hispanic_2022_p,multiplerace_2022_p,pacificislander_2022_p,white_2022_p,economicallydisadvantaged_2022_p,englishlearner_2022_p,studentwithadisability_2022_p,homeless_2022_p
Academy for Math Engineering & Science,22.9,24.1,22,23.299999,22.299999,24.5,23.299999,23.9,23.4,24.1,.96520001,.94220001,110575,472,129,115,114,114,.45338982,.54661018,.016949153,.031779662,.12076271,.16949153,.050847456,.05720339,.55296612,.22669491,.010593221,.063559324,.0021186441
Alta High,20.200001,20.799999,18.9,19.700001,19.5,19.9,21.5,22.299999,20.299999,20.799999,.93629998,.9199,733,2281,591,594,564,532,.48180622,.51819378,.0021920211,.010960105,.024550635,.11836914,.041648399,.011398509,.79088122,.167032,.031126698,.085488819,.032880317
Altamont High,18.1,19,16.799999,16.799999,18.799999,19,18.299999,19.6,18.1,20,.94849998,.92940003,434,247,39,38,36,40,.51417005,.48582995,.0080971662,.0040485831,0,.048582997,.016194332,0,.92307693,.2834008,.020242915,.14979757,.0080971662
American Fork High,20.299999,20.700001,19.5,19.799999,19.5,19.700001,21.1,22,20.5,20.700001,.94319999,.90890002,180,2475,75,795,819,786,.48727274,.51272726,.0032323233,.0040404042,.0080808084,.090101011,.038383838,.01050505,.84565657,.11272727,.01010101,.071111113,.00080808083
American Leadership Academy,19.5,18.799999,17.6,17.799999,19.799999,19.200001,20.4,19,19.700001,18.9,.93970001,.91710001,165615,1640,137,143,114,127,.49878049,.50121951,.0018292683,.012804878,.0079268292,.3207317,.027439024,.0006097561,.62865853,.33780488,.093902439,.13658537,.021951219
American Preparatory Academy - Draper #3,20.5,22.1,19.299999,22,19.5,21.4,22.200001,22.1,20.6,22.299999,.96689999,.95840001,186376,738,133,81,54,51,.46070459,.53929538,.0040650405,.016260162,.19241193,.29539296,.029810298,.012195121,.44986451,.22222222,.17886178,.12737127,0
Ashley Valley Educ. Ctr.,16,17,14,15.1,16.299999,15.9,16.200001,17.799999,16.799999,18.5,.94419998,.76029998,989,229,16,67,74,72,.53275108,.46724892,.06113537,.0043668123,.0043668123,.078602619,.017467249,0,.83406115,.38864627,.030567685,.034934498,0
Beaver High,18.1,18,16.6,16.299999,18.5,18.5,17.9,18.6,18.700001,17.9,.96210003,.96630001,202,478,72,87,90,77,.46025103,.53974897,.0041841003,.0020920502,.0020920502,.14225942,.016736401,0,.832636,.27824268,.031380754,.13389121,.0020920502
Beehive Science & Technology Academy,25.200001,21,23.700001,20.4,27.4,22.200001,24.299999,21.4,25.1,19.700001,.98659998,.95190001,165610,293,46,38,22,36,.36177474,.63822526,0,.017064847,.27645051,.098976113,0,.023890786,.58361775,.24573378,.013651877,.14675768,0
Blue Peak High,17.200001,14.5,16.1,13.3,16.700001,13.8,18.200001,15.5,17.299999,14.9,.60759997,,,121,0,25,28,68,.47107437,.5289256,0,.024793388,0,.20661157,.041322313,.0082644625,.71900827,.44628099,.082644626,.49586776,.041322313
Brighton High,20.4,21.200001,19.299999,19.6,19.799999,20.4,21.1,23,20.700001,21.299999,.95340002,.93620002,736,2236,594,581,544,517,.46958855,.53041142,.0017889087,.010733453,.010286225,.093917713,.057245079,.010733453,.81529516,.15250447,.021019679,.07289803,.029069768
